FID,OBJECTID,Project,PointYrID,PointID,Fire_ID,Fire_year,Year,TSB,Burned,TreeCov,ShrubCov,LiveBA,SnagBA,lat,long,burnsev,CC_BurnSev,Distance,slope,elevation,aspect,visits,WHRsize2,WHRtype2,WHRdens2,WHRtype15,Src_Year15,WHRsize15,WHRdens15,F2001star_,F2004stray,F2006bould,F2007moonl,F2008cold_,F2008cub_b,F2008rich_,F2012CHIPS,F2014bald_,F2000storr,dropped,prefire,cc_storrie,cc_bald,cc_boulder,cc_chips,cc_cold,cc_cub,cc_moonlit,cc_rich,cc_star,cc_straylo
30,31,PLAS,213_9.2014,213_9,2012Chips,2012,2014,2,1,32,12,14,0.5,40.138556,-121.062633,252.84,0,0,28,1846,216,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,10.04899979,0,0,0,0,0,0
31,32,PLAS,213_9.2015,213_9,2012Chips,2012,2015,3,1,35,21,10,0.4,40.138556,-121.062633,252.84,0,0,28,1846,216,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,10.04899979,0,0,0,0,0,0
32,33,PLAS,214_1.2013,214_1,2012Chips,2012,2013,1,1,13,5,10,4.4,40.07708,-121.235796,622.06,0,0,34,1422,100,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,88.41169739,0,0,0,0,0,0
33,34,PLAS,214_1.2014,214_1,2012Chips,2012,2014,2,1,9,4,6,5.5,40.07708,-121.235796,622.06,0,0,34,1422,100,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,88.41169739,0,0,0,0,0,0
34,35,PLAS,214_1.2015,214_1,2012Chips,2012,2015,3,1,4,2,3,6.6,40.07708,-121.235796,622.06,0,0,34,1422,100,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,88.41169739,0,0,0,0,0,0
35,36,PLAS,214_10.2013,214_10,2012Chips,2012,2013,1,1,12,5,12,1.8,40.072998,-121.231023,276.78,0,0,24,1386,69,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,12.21850014,0,0,0,0,0,0
36,37,PLAS,214_10.2014,214_10,2012Chips,2012,2014,2,1,8,6,12,1.9,40.072998,-121.231023,276.78,0,0,24,1386,69,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,12.21850014,0,0,0,0,0,0
37,38,PLAS,214_10.2015,214_10,2012Chips,2012,2015,3,1,4,6,13,2,40.072998,-121.231023,276.78,0,0,24,1386,69,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,12.21850014,0,0,0,0,0,0
38,39,PLAS,214_11.2013,214_11,2012Chips,2012,2013,1,1,20,3,14,6.8,40.075491,-121.231439,254.97,0,0,40,1308,45,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,12.29319954,0,0,0,0,0,0
39,40,PLAS,214_11.2014,214_11,2012Chips,2012,2014,2,1,17,6,15,7.3,40.075491,-121.231439,254.97,0,0,40,1308,45,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,12.29319954,0,0,0,0,0,0
40,41,PLAS,214_11.2015,214_11,2012Chips,2012,2015,3,1,13,9,16,7.8,40.075491,-121.231439,254.97,0,0,40,1308,45,2,5,SMC,3,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,12.29319954,0,0,0,0,0,0
41,42,PLAS,214_12.2013,214_12,2012Chips,2012,2013,1,1,6,9,7,8.8,40.077212,-121.231477,402.32,0,0,48,1279,91,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,43.11320114,0,0,0,0,0,0
42,43,PLAS,214_12.2014,214_12,2012Chips,2012,2014,2,1,8,15,7,9.7,40.077212,-121.231477,402.32,0,0,48,1279,91,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,43.11320114,0,0,0,0,0,0
43,44,PLAS,214_12.2015,214_12,2012Chips,2012,2015,3,1,10,20,7,10.6,40.077212,-121.231477,402.32,0,0,48,1279,91,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,43.11320114,0,0,0,0,0,0
