"","PointYrID","PointID","FIRE_ID","Fire_year","Year","TSB","TreeCov","ShrubCov","SnagBA","lat","long","burnsev","slope","elevation","aspect","visits","prefire","Burned"
"59","214_9.2015","214_9","2012Chips",2012,2015,3,8,6,3.2,40.071094,-121.230814,7.572919846,31,1425,18,2,"late closed",1
"60","222_1.2013","222_1","2012Chips",2012,2013,1,21,9,6,40.103637,-121.062064,17.1371994,10,1693,316,2,"late closed",1
"61","222_10.2013","222_10","2012Chips",2012,2013,1,60,3,1.4,40.102535,-121.054869,4.181650162,25,1797,310,2,"late closed",1
"62","222_10.2014","222_10","2012Chips",2012,2014,2,48,8,4.7,40.102535,-121.054869,4.181650162,25,1797,310,2,"late closed",1
"63","222_10.2015","222_10","2012Chips",2012,2015,3,35,12,8,40.102535,-121.054869,4.181650162,25,1797,310,2,"late closed",1
"64","222_11.2013","222_11","2012Chips",2012,2013,1,45,10,4.2,40.101379,-121.057401,8.640060425,26,1763,264,2,"late closed",1
"65","222_12.2013","222_12","2012Chips",2012,2013,1,23,10,6.6,40.100298,-121.060094,72.4509964,26,1693,248,2,"open",1
"66","222_2.2013","222_2","2012Chips",2012,2013,1,25,20,3.4,40.104371,-121.059591,32.69340134,27,1700,324,2,"late closed",1
"67","222_2.2014","222_2","2012Chips",2012,2014,2,22,19,3.1,40.104371,-121.059591,32.69340134,27,1700,324,2,"late closed",1
"68","222_2.2015","222_2","2012Chips",2012,2015,3,18,17,2.8,40.104371,-121.059591,32.69340134,27,1700,324,2,"late closed",1
"69","222_3.2013","222_3","2012Chips",2012,2013,1,25,22,4.2,40.105762,-121.057147,19.14209938,28,1700,314,2,"late closed",1
"70","222_3.2014","222_3","2012Chips",2012,2014,2,17,26,5.9,40.105762,-121.057147,19.14209938,28,1700,314,2,"late closed",1
"71","222_3.2015","222_3","2012Chips",2012,2015,3,8,30,7.6,40.105762,-121.057147,19.14209938,28,1700,314,2,"late closed",1
"72","222_4.2013","222_4","2012Chips",2012,2013,1,40,8,1.4,40.106865,-121.05471,1.826990008,18,1738,286,2,"late closed",1
"73","222_4.2014","222_4","2012Chips",2012,2014,2,30,12,1.9,40.106865,-121.05471,1.826990008,18,1738,286,2,"late closed",1
"74","222_4.2015","222_4","2012Chips",2012,2015,3,20,15,2.4,40.106865,-121.05471,1.826990008,18,1738,286,2,"late closed",1
"75","222_5.2013","222_5","2012Chips",2012,2013,1,34,8,0.6,40.108078,-121.052353,2.058710098,10,1764,250,2,"late closed",1
"76","222_5.2014","222_5","2012Chips",2012,2014,2,27,9,0.9,40.108078,-121.052353,2.058710098,10,1764,250,2,"late closed",1
"77","222_5.2015","222_5","2012Chips",2012,2015,3,20,10,1.2,40.108078,-121.052353,2.058710098,10,1764,250,2,"late closed",1
"78","222_6.2013","222_6","2012Chips",2012,2013,1,34,11,0,40.109156,-121.050022,6.600259781,4,1778,147,2,"late closed",1
"79","222_6.2014","222_6","2012Chips",2012,2014,2,27,12,0,40.109156,-121.050022,6.600259781,4,1778,147,2,"late closed",1
"80","222_6.2015","222_6","2012Chips",2012,2015,3,20,12,0,40.109156,-121.050022,6.600259781,4,1778,147,2,"late closed",1
"81","223_1.2013","223_1","2012Chips",2012,2013,1,15,6,8.8,40.161045,-121.105273,26.5461998,9,1453,78,2,"late closed",1
"82","223_10.2013","223_10","2012Chips",2012,2013,1,25,3,2.4,40.159723,-121.100473,1.810279965,78,1393,92,2,"late closed",1
"83","223_10.2014","223_10","2012Chips",2012,2014,2,33,3,2.4,40.159723,-121.100473,1.810279965,78,1393,92,2,"late closed",1
"84","223_10.2015","223_10","2012Chips",2012,2015,3,40,3,2.4,40.159723,-121.100473,1.810279965,78,1393,92,2,"late closed",1
"85","223_11.2013","223_11","2012Chips",2012,2013,1,45,3,1.2,40.162009,-121.10143,0.760903001,24,1440,85,2,"mid closed",1
"86","223_11.2014","223_11","2012Chips",2012,2014,2,45,4,2.4,40.162009,-121.10143,0.760903001,24,1440,85,2,"mid closed",1
"87","223_11.2015","223_11","2012Chips",2012,2015,3,44,4,3.6,40.162009,-121.10143,0.760903001,24,1440,85,2,"mid closed",1
"88","223_12.2013","223_12","2012Chips",2012,2013,1,45,2,3.2,40.164341,-121.101401,3.217619896,28,1434,91,2,"late closed",1
"89","223_3.2013","223_3","2012Chips",2012,2013,1,30,2,2.4,40.156948,-121.104342,21.92860031,10,1444,104,2,"young.forest",1
"90","223_4.2013","223_4","2012Chips",2012,2013,1,2,1,28,40.154888,-121.104482,81.43319702,11,1434,137,2,"mid closed",1
"91","223_4.2014","223_4","2012Chips",2012,2014,2,2,33,22.9,40.154888,-121.104482,81.43319702,11,1434,137,2,"mid closed",1
"92","223_4.2015","223_4","2012Chips",2012,2015,3,1,65,17.8,40.154888,-121.104482,81.43319702,11,1434,137,2,"mid closed",1
"93","223_6.2013","223_6","2012Chips",2012,2013,1,5,7,16,40.152336,-121.10217,88.13359833,62,1386,144,2,"Shrub",1
"94","223_6.2014","223_6","2012Chips",2012,2014,2,6,32,14.8,40.152336,-121.10217,88.13359833,62,1386,144,2,"Shrub",1
"95","223_6.2015","223_6","2012Chips",2012,2015,3,7,57,13.6,40.152336,-121.10217,88.13359833,62,1386,144,2,"Shrub",1
"96","223_7.2013","223_7","2012Chips",2012,2013,1,30,4,0.6,40.153923,-121.100587,0.665691972,43,1404,145,2,"late closed",1
